Merge Sort
n,Time(Seconds)
18000,0.0949110984802
14000,0.0725848674774
6000,0.0286731719971
20000,0.107293844223
10000,0.0503289699554
12000,0.0613610744476
16000,0.0837800502777
2000,0.00863790512085
4000,0.018406867981
8000,0.0395059585571
Insert Sort
n,Time(Seconds)
18000,15.2055549622
14000,9.01870203018
6000,1.6796298027
20000,18.484593153
10000,4.626953125
12000,6.81057810783
16000,12.1346290112
2000,0.186681032181
4000,0.736374855042
8000,3.00101494789
